,Day,Month,Year,Hour,Demand (kWh)
551,19,May,2018,19,13.259357659280594
552,19,May,2018,20,5.976221882802418
553,19,May,2018,21,14.90833859904577
554,19,May,2018,22,31.474112984517657
555,19,May,2018,23,35.59352849830059
556,20,May,2018,0,31.00039062889762
557,20,May,2018,1,33.986266336317954
558,20,May,2018,2,28.34870650589351
559,20,May,2018,3,21.344195826613095
560,20,May,2018,4,8.985009854198088
561,20,May,2018,5,10.188789504834189
562,20,May,2018,6,17.271375844260138
563,20,May,2018,7,10.079858162002932
564,20,May,2018,8,12.92869070040149
565,20,May,2018,9,10.834285238216616
566,20,May,2018,10,1.6643951612903207
567,20,May,2018,11,1.6643951612903207
568,20,May,2018,12,1.6643951612903207
569,20,May,2018,13,3.4126774193548393
570,20,May,2018,14,0.0
571,20,May,2018,15,0.0
572,20,May,2018,16,0.0
573,20,May,2018,17,0.7883243243243244
574,20,May,2018,18,9.292599495650332
575,20,May,2018,19,27.454887506643402
576,20,May,2018,20,29.331066625471745
577,20,May,2018,21,24.37657057385117
578,20,May,2018,22,26.46616975782796
579,20,May,2018,23,30.089950211369594
580,21,May,2018,0,28.38830524761352
581,21,May,2018,1,19.41449708042744
582,21,May,2018,2,11.385709945264765
583,21,May,2018,3,9.34636141785972
584,21,May,2018,4,8.497655807004165
585,21,May,2018,5,10.2539339417823
586,21,May,2018,6,5.739269492164738
587,21,May,2018,7,7.866055633421309
588,21,May,2018,8,3.6461798351570254
589,21,May,2018,9,0.7196475770925106
590,21,May,2018,10,0.7196475770925106
591,21,May,2018,11,0.7196475770925106
592,21,May,2018,12,1.2943355470173228
593,21,May,2018,13,3.3720535921301034
594,21,May,2018,14,7.4652576570708
595,21,May,2018,15,16.388149522302538
596,21,May,2018,16,37.35732367769189
597,21,May,2018,17,56.2439067929656
598,21,May,2018,18,60.55864754854291
599,21,May,2018,19,56.79809879004354
600,21,May,2018,20,46.61149641811408
601,21,May,2018,21,47.482515083527105
602,21,May,2018,22,37.51560545501096
603,21,May,2018,23,30.845698783610686
604,22,May,2018,0,39.241970621511214
605,22,May,2018,1,29.52220403431268
606,22,May,2018,2,33.90070775343305
607,22,May,2018,3,34.53769818681028
608,22,May,2018,4,23.29999267065137
609,22,May,2018,5,12.313867093911147
610,22,May,2018,6,5.472023132915322
611,22,May,2018,7,3.9279876949734533
612,22,May,2018,8,3.9279876949734533
613,22,May,2018,9,3.9279876949734533
614,22,May,2018,10,3.8510321372291574
615,22,May,2018,11,2.9005424817555037
616,22,May,2018,12,3.0739703551921553
617,22,May,2018,13,5.659687093389578
618,22,May,2018,14,10.605907800040834
619,22,May,2018,15,20.880999057666333
620,22,May,2018,16,42.70191199064281
621,22,May,2018,17,54.51762385009356
622,22,May,2018,18,66.60288176324025
623,22,May,2018,19,57.465842284599184
624,22,May,2018,20,50.87034220667652
625,22,May,2018,21,48.84674088133392
626,22,May,2018,22,47.21767020514774
627,22,May,2018,23,47.00707513770063
628,23,May,2018,0,32.23128299454268
629,23,May,2018,1,22.6149605277177
630,23,May,2018,2,21.506041120646145
631,23,May,2018,3,33.55616398027771
632,23,May,2018,4,47.12000504535839
633,23,May,2018,5,29.287437846955566
634,23,May,2018,6,12.81972795963736
635,23,May,2018,7,14.974853958031622
636,23,May,2018,8,5.135980596569025
637,23,May,2018,9,5.029902165196476
638,23,May,2018,10,2.709019406575781
639,23,May,2018,11,1.6334883720930224
640,23,May,2018,12,2.0885582410886556
641,23,May,2018,13,4.7881402119088685
642,23,May,2018,14,12.033252251637542
643,23,May,2018,15,14.44333458061978
644,23,May,2018,16,36.33545028516651
645,23,May,2018,17,58.70628935334699
646,23,May,2018,18,57.47278431794346
647,23,May,2018,19,44.5142755570409
648,23,May,2018,20,44.78449047406662
649,23,May,2018,21,47.413046636606474
650,23,May,2018,22,43.411684564965675
651,23,May,2018,23,39.67482955200701
652,24,May,2018,0,18.91042108533575
653,24,May,2018,1,14.775220522050839
654,24,May,2018,2,22.918574294799082
655,24,May,2018,3,35.365337339781945
656,24,May,2018,4,38.94343100585
657,24,May,2018,5,17.352250080553855
658,24,May,2018,6,3.0199386200716827
659,24,May,2018,7,0.0
660,24,May,2018,8,0.0
661,24,May,2018,9,0.0
662,24,May,2018,10,0.0
663,24,May,2018,11,0.0
664,24,May,2018,12,2.5083889017877876
665,24,May,2018,13,9.227996285117259
666,24,May,2018,14,8.642370435393696
667,24,May,2018,15,18.8434090444776
668,24,May,2018,16,36.56273933268362
669,24,May,2018,17,62.85698882611631
670,24,May,2018,18,58.16412317850453
671,24,May,2018,19,44.48787193651984
672,24,May,2018,20,38.54895786067728
673,24,May,2018,21,41.68586287756303
674,24,May,2018,22,44.851410806425235
675,24,May,2018,23,40.102707566290675
676,25,May,2018,0,33.389860159988764
677,25,May,2018,1,37.262746555750276
678,25,May,2018,2,36.65485252753749
679,25,May,2018,3,28.48537550955268
680,25,May,2018,4,12.707294578382108
681,25,May,2018,5,6.805861797557259
682,25,May,2018,6,13.760224752503548
683,25,May,2018,7,5.612400077178876
684,25,May,2018,8,1.938812414841212
685,25,May,2018,9,4.905316447099276
686,25,May,2018,10,7.636567142316183
687,25,May,2018,11,11.677432346077937
688,25,May,2018,12,12.401947901633493
689,25,May,2018,13,12.745762562464682
690,25,May,2018,14,16.85671913411445
691,25,May,2018,15,32.14474815818291
692,25,May,2018,16,41.66254452532911
693,25,May,2018,17,70.55432199218885
694,25,May,2018,18,63.163765629045294
695,25,May,2018,19,58.176761618778634
696,25,May,2018,20,41.778694986670786
697,25,May,2018,21,41.81780489008287
698,25,May,2018,22,42.277475211459254
699,25,May,2018,23,44.694709081264044
700,26,May,2018,0,31.73170538780025
701,26,May,2018,1,34.14893214053071
702,26,May,2018,2,21.56019613300753
703,26,May,2018,3,18.18900960122857
704,26,May,2018,4,27.29218332456431
705,26,May,2018,5,27.624768227034476
706,26,May,2018,6,23.388185115510712
707,26,May,2018,7,16.559776351397126
